_id_x,Location_id,time,precipitation_sum (mm),_id_y,Lat,Lon
652fe077f3c7661538eba265,81,25/09/2023,73.1,652fe06ef3c7661538eae2d2,16.15487468,108.2505622
652fe077f3c7661538eba266,81,26/09/2023,2.1,652fe06ef3c7661538eae2d2,16.15487468,108.2505622
652fe077f3c7661538eba267,81,27/09/2023,9.6,652fe06ef3c7661538eae2d2,16.15487468,108.2505622
652fe077f3c7661538eba268,81,28/09/2023,9.2,652fe06ef3c7661538eae2d2,16.15487468,108.2505622
652fe077f3c7661538eba269,81,29/09/2023,13.2,652fe06ef3c7661538eae2d2,16.15487468,108.2505622
652fe077f3c7661538eba26a,81,30/09/2023,4.1,652fe06ef3c7661538eae2d2,16.15487468,108.2505622
652fe077f3c7661538eba26b,82,25/09/2023,73.1,652fe06ef3c7661538eae2d3,16.15487468,108.2508451
652fe077f3c7661538eba26c,82,26/09/2023,2.1,652fe06ef3c7661538eae2d3,16.15487468,108.2508451
652fe077f3c7661538eba26d,82,27/09/2023,9.6,652fe06ef3c7661538eae2d3,16.15487468,108.2508451
652fe077f3c7661538eba26e,82,28/09/2023,9.2,652fe06ef3c7661538eae2d3,16.15487468,108.2508451
652fe077f3c7661538eba26f,82,29/09/2023,13.2,652fe06ef3c7661538eae2d3,16.15487468,108.2508451
652fe077f3c7661538eba270,82,30/09/2023,4.1,652fe06ef3c7661538eae2d3,16.15487468,108.2508451
652fe077f3c7661538eba271,83,25/09/2023,73.1,652fe06ef3c7661538eae2d4,16.15487468,108.251128
652fe077f3c7661538eba272,83,26/09/2023,2.1,652fe06ef3c7661538eae2d4,16.15487468,108.251128
652fe077f3c7661538eba273,83,27/09/2023,9.6,652fe06ef3c7661538eae2d4,16.15487468,108.251128
652fe077f3c7661538eba274,83,28/09/2023,9.2,652fe06ef3c7661538eae2d4,16.15487468,108.251128
652fe077f3c7661538eba275,83,29/09/2023,13.2,652fe06ef3c7661538eae2d4,16.15487468,108.251128
652fe077f3c7661538eba276,83,30/09/2023,4.1,652fe06ef3c7661538eae2d4,16.15487468,108.251128
652fe077f3c7661538eba277,84,25/09/2023,73.1,652fe06ef3c7661538eae2d5,16.15487468,108.2514109
652fe077f3c7661538eba278,84,26/09/2023,2.1,652fe06ef3c7661538eae2d5,16.15487468,108.2514109
652fe077f3c7661538eba279,84,27/09/2023,9.6,652fe06ef3c7661538eae2d5,16.15487468,108.2514109
652fe077f3c7661538eba27a,84,28/09/2023,9.2,652fe06ef3c7661538eae2d5,16.15487468,108.2514109
652fe077f3c7661538eba27b,84,29/09/2023,13.2,652fe06ef3c7661538eae2d5,16.15487468,108.2514109
652fe077f3c7661538eba27c,84,30/09/2023,4.1,652fe06ef3c7661538eae2d5,16.15487468,108.2514109
652fe077f3c7661538eba27d,85,25/09/2023,73.1,652fe06ef3c7661538eae2d6,16.15487468,108.2516938
652fe077f3c7661538eba27e,85,26/09/2023,2.1,652fe06ef3c7661538eae2d6,16.15487468,108.2516938
652fe077f3c7661538eba27f,85,27/09/2023,9.6,652fe06ef3c7661538eae2d6,16.15487468,108.2516938
652fe077f3c7661538eba280,85,28/09/2023,9.2,652fe06ef3c7661538eae2d6,16.15487468,108.2516938
652fe077f3c7661538eba281,85,29/09/2023,13.2,652fe06ef3c7661538eae2d6,16.15487468,108.2516938
